longitude,latitude,elevation,sensorID
-3.82361612,43.45932175,8.30000000,2012
-3.79548972,43.46306227,49.02932634,2037
-3.79360226,43.46284810,33.60943090,2032
-3.79655852,43.46339044,38.30138068,2033
-3.79842978,43.46231078,38.60532357,2030
-3.80070114,43.46190762,38.13890798,2043
-3.81185866,43.46155040,39.03121431,2040
-3.81238784,43.46177733,39.03121431,2015
-3.81170078,43.46209469,39.03121431,2014
-3.81026906,43.46158321,39.76500000,2017
-3.80735180,43.46150343,38.24254634,2023
-3.80884857,43.46137984,39.76500000,2019
-3.79954493,43.46256762,38.77000000,2029
-3.79987413,43.46216980,38.77000000,2028
-3.80373620,43.46178367,41.40500000,2026
-3.82048534,43.46022884,38.53000000,2013
-3.80626550,43.46155638,43.22488016,2024
-3.81771301,43.45557140,63.58962410,1010
-3.82089246,43.45446993,42.03452039,1007
-3.81296935,43.45740491,37.55287743,1013
-3.80953426,43.45768034,39.04544679,1015
-3.80944810,43.45764350,39.04544679,1016
-3.80885228,43.45849887,38.55063698,1018
-3.80755290,43.45914543,38.55063698,1017
-3.82837568,43.45332134,42.00000000,1003
-3.82823915,43.45335530,42.00000000,1004
-3.82819906,43.45410138,42.00000000,1005
-3.82824002,43.45417763,42.00000000,1006
-3.82968086,43.45368269,38.53000000,1027
-3.82964996,43.45362448,38.53000000,1001
-3.82904128,43.45338083,42.00000000,1002
-3.82898015,43.45342374,42.00000000,1028
-3.82914254,43.45106069,38.53000000,1022
-3.82923746,43.45089805,38.53000000,1023
-3.82916249,43.45083075,38.53000000,1024
-3.82921606,43.45112396,38.53000000,1021
-3.82690239,43.45189786,42.00000000,1026
-3.82660217,43.45174727,42.00000000,1025
-3.79677677,43.46547843,29.03605299,2035
-3.78821148,43.47305160,26.40231916,3035
-3.78849796,43.47343520,23.17914329,3037
-3.78799680,43.47333633,23.17914329,3036
-3.79338138,43.47282212,43.63763114,3049
-3.79318151,43.47280479,40.69406067,3048
-3.79726675,43.47165114,48.34969099,3033
-3.79491133,43.47171667,40.44699107,3034
-3.80053166,43.47096918,39.35000000,3029
-3.80501369,43.47020863,34.19279972,3027
-3.82325532,43.46637190,38.76331652,3055
-3.83058942,43.46403333,38.28498865,3009
-3.83921237,43.46275094,37.09000000,3046
-3.83920389,43.46271746,37.09000000,3047
-3.83914771,43.46298933,37.09000000,3045
-3.83930325,43.46307633,37.09000000,3044
-3.83814480,43.46268377,37.09000000,3001
-3.83812435,43.46272182,37.09000000,3002
-3.83874764,43.46294840,37.09000000,3042
-3.83879999,43.46300719,37.09000000,3043
-3.83432674,43.46196852,49.41000000,3004
-3.83294989,43.46077819,34.18000000,3005
-3.83184221,43.46067590,34.18000000,3006
-3.83182243,43.46064848,34.18000000,3007
-3.83113530,43.46084026,37.96849388,3008
-3.83450474,43.45477390,49.96289625,2001
-3.83391461,43.45497792,49.96289625,2002
-3.83390246,43.45495495,49.96289625,2003
-3.82947861,43.45781888,38.28486282,2004
-3.83099442,43.45748196,37.70212693,2039
-3.82688555,43.45667885,38.54763914,2007
-3.82723651,43.45731498,38.54763914,2038
-3.82671953,43.45739803,38.54763914,2006
-3.82695499,43.45849593,10.33333637,2008
-3.82205697,43.46051304,4.11803350,2010
-3.82217090,43.46075826,4.11803350,2011
-3.82574788,43.46046189,77.75000000,3038
-3.82437756,43.46178722,37.99292971,3040
-3.82411319,43.46214931,37.99292971,3039
-3.82293293,43.46329959,29.13000000,3052
-3.82248057,43.46381741,29.13000000,3051
